产品ID	产品名称	SeoTitle	SeoKeyword	SeoDesc	备注
536027559031062	Jersey (Send pictures to tell customer service what style you want)	reps | Drip Sneakers			HOLD: send-pictures占位符
536027557666577	G*y**d Bag (Send pictures to tell customer service what style you want)	reps | Drip Sneakers			HOLD: send-pictures占位符
536027555785489	Ksubi Slim Fit Tapered Jeans KS9017	reps | Drip Sneakers			HOLD: 排除类目
536027555706653	Ksubi Slim Fit Tapered Jeans KS9018	reps | Drip Sneakers			HOLD: 排除类目
536027555657237	Ksubi Slim Fit Tapered Jeans KS9019	reps | Drip Sneakers			HOLD: 排除类目
536027555593752	Ksubi Slim Fit Tapered Jeans KS9020	reps | Drip Sneakers			HOLD: 排除类目
536027555527450	Ksubi Slim Fit Tapered Jeans KS9021	reps | Drip Sneakers			HOLD: 排除类目
536027555479579	Ksubi Slim Fit Tapered Jeans KS9022	reps | Drip Sneakers			HOLD: 排除类目
536027553504794	W**ch(Send pictures to tell customer service what style you want)-DC4	reps | Drip Sneakers			HOLD: send-pictures占位符
536027553455897	W**ch(Send pictures to tell customer service what style you want)-DC3	reps | Drip Sneakers			HOLD: send-pictures占位符
536027553421846	W**ch(Send pictures to tell customer service what style you want)-DC2	reps | Drip Sneakers			HOLD: send-pictures占位符
536027553358097	W**ch(Send pictures to tell customer service what style you want)	reps | Drip Sneakers			HOLD: send-pictures占位符
536027544723736	Polo Ralph Lauren R28 Oxford Solid Logo Embroidery Button-Down Long Sleeve Shirt 02	reps | Drip Sneakers			HOLD: Polo blocklist
536027544674326	Polo Ralph Lauren R28 Oxford Solid Logo Embroidery Button-Down Long Sleeve Shirt 01	reps | Drip Sneakers			HOLD: Polo blocklist
536027467169560	Brunello Cucinelli Henley collar T-shirt White	reps | Drip Sneakers			SEO部分缺失
536027429707795	AMIRI MMY Bones x Maison MIHARA YASUHIRO Alabaster	reps | Drip Sneakers			HOLD: 排除类目
536027383564561	Polo Ralph Lauren Double-Knit Suit Grey	reps | Drip Sneakers			HOLD: Polo blocklist
536027379965208	Polo Ralph Lauren Double-Knit Suit Black	reps | Drip Sneakers			HOLD: Polo blocklist
536027372571665	Polo Ralph Lauren  Hoodie White	reps | Drip Sneakers			HOLD: Polo blocklist
